450 2.0666e-01	64.04 440.63
500 2.0653e-01	63.97 440.50
550 2.0639e-01	63.98 440.34
600 2.0670e-01	63.99 440.68
650 2.0656e-01	63.94 440.53
700 2.0655e-01	63.86 440.53
750 2.0597e-01	63.63 439.93
800 2.0548e-01	63.51 439.41
850 2.0498e-01	63.24 438.88
900 2.0412e-01	62.99 437.98
950 2.0413e-01	62.78 438.01
1000 2.0401e-01	62.62 437.89
